10;-47;2
7;-42;2
3;-33;3
2;-36;4
2;-36;4
4;-34;2
7;-45;-1
-9;-75;-6
-11;-50;0
-11;-50;0
10;10;6
3;-55;0
-15;-58;-5
-5;-31;6
18;-36;12
18;-36;12
29;-53;12
32;-9;8
29;-33;5
17;-63;5
17;-63;5
7;-49;7
5;-49;6
4;-51;2
4;-48;1
0;-36;2
0;-36;2
2;-32;1
3;-33;-2
11;-22;-2
9;-63;-1
9;-63;-1
9;-23;2
3;-29;7
1;-17;7
4;-7;5
4;-7;5
2;-14;3
2;-8;4
2;-13;5
1;-16;4
5;-15;4
5;-15;4
5;-9;0
3;-7;-3
-1;-13;-3
1;-22;0
1;-22;0
0;-32;-1
-17;-50;-2
-4;-15;8
18;12;11
0;-59;1
0;-59;1
-8;-19;0
4;-23;8
25;-42;11
29;-42;10
29;-42;10
23;-18;6
11;-38;0
1;-45;-7
-7;-53;-8
-15;-63;-3
-15;-63;-3
-13;-51;9
-7;-50;19
-3;-48;19
9;-41;13
9;-41;13
21;-12;7
36;-25;8
42;-26;9
38;-11;3
38;-11;3
20;-44;-5
2;-33;-13
-13;-36;-13
-13;-35;-11
-7;-23;-8
-7;-23;-8
-5;-31;-5
-2;-36;-6
-3;-28;-10
-1;-30;-11
-1;-30;-11
4;-42;-7
10;-41;-5
4;-46;-9
5;-34;-1
29;16;5
29;16;5
19;-41;1
-5;-42;-5
-16;-32;-3
3;-26;1
3;-26;1
17;-41;6
21;-23;6
15;-24;3
5;-39;1
5;-39;1
2;-27;3
3;-38;7
5;-43;8
8;-39;5
11;-31;0
11;-31;0
12;-22;-3
2;-17;-5
6;14;-2
4;-22;0
4;-22;0
7;11;1
0;-13;3
-6;-16;3
-7;-10;4
-4;-26;4
-4;-26;4
1;-28;2
5;-34;2
5;-32;3
6;-36;3
6;-36;3
8;-56;3
11;-62;2
8;-67;-2
-10;-83;-7
10;-30;4
10;-30;4
23;-12;2
2;-51;-5
-13;-10;-3
-5;-12;5
-5;-12;5
19;-27;7
26;-26;5
22;-23;2
9;-34;1
9;-34;1
0;-19;3
-1;-11;5
4;-16;5
